gl,pt,es,la
orella,orelha,oreja,auricula
ollo,olho,ojo,oculus
ventrullo,barriga,barriga,ventriculum
sobrecella,sobrancelha,ceja,supercilium
unlla,unha,uña,ungulam
virilla,virilha,ingle,Virilia
xeonllo,joelho,rodilla,geniculum
humillación,humilhação,humillación,humiliatio
humillar,humilhar,humillar,humiliare
callar,coalhar,cuajar,coagulare
rillar,rilhar,roer,ringere
semellar,semelhar,semejar,similiare
traballar,trabalhar,trabajar,tripalium
mellorar,melhorar,mejorar,meliorare
coello,coelho,conejo,cuniculus
abella,abelha,abeja,apis
muller,mulher,mujer,mulier
folla,folha,hoja,folia
palla,palha,paja,palea
mexillón,mexilhão,mejillón,musculus
allo,alho,ajo,alliu
quenlla,tintureira,tintorera,canicula
illa,ilha,isla,insula
borralla,boralha,ceniza,burra
culler,colher,cuchara,cochlear
mollo,molho,moje,manuculus
carallo,caralho,carajo,caraculus
alleo,alheio,ajeno,alienus
navalla,navalha,navaja,novacula
lentella,lentilha,lenteja,lenticula
borrallento,cinzento,ceniciento,burra
solla,solha,platija,solea
marabilla,maravilha,maravilla,mirabilis
milla,milha,milla,milia
muralla,muralha,muralla,muralia
colorado,vermelho,rojo,coloratus
castelán,castelhano,castellano,Castellanus
pila,pilha,pila,pila
tomiño,tomilho,tomillo,thymum
meixela,bochecha,mejilla,maxillam
amarelo,amarelo,amarillo,amarellus
canela,canela,canilla,canna
marmelo,marmelo,membrillo,melimellum
martelo,martelo,martillo,martellu
galego,galego,gallego,Gallaecus
calosidade,calosidade,callosidad,callositas
choiva,chuva,lluvia,pluviam
chover,chover,llover,pluere
ebulición,ebulição,ebullición,ebullitĭōne
cabalería,cavalaria,caballería,caballus
chamar,chamar,llamar,clamāre
querelar,querelar,querellar,querellāre
relar,ralar,rallar,rallu
selar,selar,sellar,sigillare
valar,valar,vallar,vallare
balea,baleia,ballena,balaena
cabalo,cavalo,caballo,caballus
anel,anel,anillo,anellu
semente,semente,semilla,semente
estrela,estrela,estrella,stella
cadeira,cadeira,silla,cathedra
trabe,trave,frenillo,trabs
ampola,ampola,ampolla,ampulla
chan,chão,llano,planum
camelo,camelo,camello,camelus
cancelo,cancelo,cancilla,cancellus
bulir,bulir,bullir,bullire
coitelo,faca,cuchillo,cultellus
lirio,verdinho,bacaladilla,liliu
grilo,grilo,grillo,grillus
grou,grou,grulla,grus
chama,chama,llama,flamma
capela,capela,capilla,cappella
galiña,galinha,gallina,gallina
valado,valado,vallado,vallatum
engulir,engolir,engullir,gula
apelidar,apelidar,apellidar,appellitare
xuño,junho,junio,iunius
puño,punho,puño,pugnum
abruño,abrunho,endrina,prunum
castaña,castanha,castaña,castanea
adiviñación,adivinhação,adivinación,ad
coñecer,conhecer,conocer,cognoscere
recoñecer,reconhecer,reconocer,recognoscere
bañar,banhar,bañar,balneare
estrañar,estranhar,estrañar,extraneare
adiviñar,adivinhar,adivinar,ad
amañar,ordenar,arreglar,admaniare
estaño,estanho,estaño,stagnum
Alemaña,Alemanha,Alemania,Alemannia
España,Espanha,España,Hispania
niño,ninho,nido,nidus
cociñar,cozinhar,cocinar,coquinare
viño,vinho,vino,vinum
muíño,moinho,molino,molinum
cociñeiro,cozinheiro,cocinero,coquinarius
cociña,cozinha,cocina,coquina
diñeiro,dinheiro,cuartos,denarius
araña,aranha,araña,aranea
golfiño,golfinho,delfín,delphinus
camiño,caminho,camino,camminus
poñer,pôr,poner,ponere
estraño,estranho,extraño,extraneus
sardiña,sardinha,sardina,sardina
cuño,cunho,cuño,cuneus
vergoña,vergonha,vergüenza,verecundia
xoaniña,joaninha,mariquita,Iohannes
fariña,farinha,harina,farina
fariñáceo,farináceo,farináceo,farinaceu
veciño,vizinho,vecino,vicinus
Sardeña,Sardenha,Cerdeña,Sardinia
cegoña,cegonha,cigüeña,ciconia
liño,linho,lino,linum
sobriño,sobrinho,sobrino,sobrinus
acivro,azevinho,acebo,acu
acariciar,acarinhar,acariciar,carus
Delfín,Golfinho,Delfín,delphinus
alborada,amanhecer,amanecer,albor
pergameo,pergaminho,pergamino,pergaminum
outono,outono,otoño,autumnus
perfeba,pestana,pestaña,Palpetra
pulso,pulso,muñeca,pulsus
ano,ano,año,annus
tinxir,tingir,teñir,tingere
constrinxir,constringir,constreñir,constringere
estrinxir,obstipar,estreñir,stringere
