gl,pt,es,la,gl_la,pt_la,es_la,notas,gl_la_2,pt_la_2,es_la_2,gl_simple,pt_simple,es_simple
orella,orelha,oreja,auricula,cul,cul,,,cl,cl,,velar+l,velar+l,
ollo,olho,ojo,oculus,cul,cul,,,cl,cl,,velar+l,velar+l,
ventrullo,barriga,barriga,ventriculum,cul,,,,cl,,,velar+l,,
sobrecella,sobrancelha,ceja,supercilium,li,li,,,li,li,,l+i,l+i,
unlla,unha,uña,ungulam,ngul,ng,ng,,ng,ng,ng,nasal+velar,nasal+velar,nasal+velar
virilla,virilha,ingle,Virilia,li,li,,,li,li,,l+i,l+i,
xeonllo,joelho,rodilla,geniculum\rotella,cul,cul,ll,,cl,cl,ll,velar+l,velar+l,long_l
humillación,humilhação,humillación,humiliatio,li,li,li,,li,li,,l+i,l+i,l+i
humillar,humilhar,humillar,humiliare,li,li,li,,li,li,,l+i,l+i,l+i
callar,coalhar,cuajar,coagulare,gul,gul,,,cl,cl,,velar+l,velar+l,
rillar,rilhar,roer,ringulare,gul,gul,,,gl,gl,,velar+l,velar+l,
semellar,semelhar,semejar,similiare,li,li,,,li,li,,l+i,l+i,
traballar,trabalhar,trabajar,tripalium,li,li,,,li,li,,l+i,l+i,
mellorar,melhorar,mejorar,meliorare,li,li,,,li,li,,l+i,l+i,
coello,coelho,conejo,cuniculus,cul,cul,,,cl,cl,,velar+l,velar+l,
abella,abelha,abeja,apicula,cul,cul,,,cl,cl,,velar+l,velar+l,
muller,mulher,mujer,mulier,li,li,,,li,li,,l+i,l+i,
folla,folha,hoja,folia,li,li,,,li,li,,l+i,l+i,
palla,palha,paja,palea,le,le,,,li,li,,l+i,l+i,
mexillón,mexilhão,mejillón,musculus,cul,cul,,,cl,cl,,velar+l,velar+l,
allo,alho,ajo,alliu,li,li,,,li,li,,l+i,l+i,
quenlla,tintureira,tintorera,canicula,cul,,,,cl,,,velar+l,,
illa,ilha,isla,insula,sul,sul,,,cl,cl,,velar+l,velar+l,
borralla,boralha,ceniza,burracula,cul,cul,,,cl,cl,,velar+l,velar+l,
culler,colher,cuchara,cochlear,chl,chl,,,cl,cl,,velar+l,velar+l,
mollo,molho,moje,manuculus,cul,cul,,,cl,cl,,velar+l,velar+l,
carallo,caralho,carajo,caraculus,cul,cul,,,cl,cl,,velar+l,velar+l,
alleo,alheio,ajeno,alienus,li,li,,,li,li,,l+i,l+i,
navalla,navalha,navaja,novacula,cul,cul,,,cl,cl,,velar+l,velar+l,
lentella,lentilha,lenteja,lenticula,cul,cul,,,cl,cl,,velar+l,velar+l,
borrallento,cinzento,ceniciento,burracula,cul,,,,cl,,,velar+l,,
solla,solha,platija,solea,le,le,,,li,li,,l+i,l+i,
marabilla,maravilha,maravilla,mirabilis,li,li,li,,li,li,,l+i,l+i,l+i
milla,milha,milla,milia,li,li,li,,li,li,,l+i,l+i,l+i
muralla,muralha,muralla,muralia,li,li,li,,li,li,,l+i,l+i,l+i
colorado,vermelho,rojo,vermiculus,,cul,,,,cl,,,velar+l,
castelán,castelhano,castellano,Castellanus,,ll,ll,es_pt,,,ll,,long_l,long_l
pila,pilha,pila,pila,,l,,,,,,,,
tomiño,tomilho,tomillo,thymum\thymuculus,ym,cul,cul,es_pt,in,cl,cl,nasal+i,velar+l,velar+l
meixela,bochecha,mejilla,maxillam,,,ll,,,,ll,,,long_l
amarelo,amarelo,amarillo,amarellus,,,ll,,,,ll,,,long_l
