gl,pt,es,la,gl_la,pt_la,es_la,notas
orella,orelha,oreja,auricula,cul,cul,,
ollo,olho,ojo,oculus,cul,cul,,
ventrullo,barriga,barriga,ventriculum,cul,,,
sobrecella,sobrancelha,ceja,supercilium,li,li,,
unlla,unha,uña,ungulam,gul,gul,gul,
virilla,virilha,ingle,Virilia,li,li,,
xeonllo,joelho,rodilla,geniculum,cul,cul,_,
humillación,humilhação,humillación,humiliatio,li,li,li,
humillar,humilhar,humillar,humiliare,li,li,li,
callar,coalhar,cuajar,coagulare,gul,gul,,
rillar,rilhar,roer,ringere,ger,ger,,
semellar,semelhar,semejar,similiare,li,li,,
traballar,trabalhar,trabajar,tripalium,li,li,,
mellorar,melhorar,mejorar,meliorare,li,li,,
coello,coelho,conejo,cuniculus,cul,cul,,
abella,abelha,abeja,apis,?,?,,
muller,mulher,mujer,mulier,li,li,,
folla,folha,hoja,folia,li,li,,
palla,palha,paja,palea,le,le,,
mexillón,mexilhão,mejillón,musculus,cul,cul,,
allo,alho,ajo,alliu,li,li,,
quenlla,tintureira,tintorera,canicula,cul,,,
illa,ilha,isla,insula,sul,sul,,
borralla,boralha,ceniza,burra,?,?,,
culler,colher,cuchara,cochlear,?,?,,
mollo,molho,moje,manuculus,cul,cul,,
carallo,caralho,carajo,caraculus,cul,cul,,
alleo,alheio,ajeno,alienus,li,li,,
navalla,navalha,navaja,novacula,cul,cul,,
lentella,lentilha,lenteja,lenticula,cul,cul,,
borrallento,cinzento,ceniciento,burra,?,,,
solla,solha,platija,solea,le,le,,
marabilla,maravilha,maravilla,mirabilis,li,li,li,
milla,milha,milla,milia,li,li,li,
muralla,muralha,muralla,muralia,li,li,li,
colorado,vermelho,rojo,coloratus,,_,,
castelán,castelhano,castellano,Castellanus,,ll,ll,es_pt
pila,pilha,pila,pila,,l,,
tomiño,tomilho,tomillo,thymum,mum,mum,mum,es_pt
meixela,bochecha,mejilla,maxillam,,,ll,
amarelo,amarelo,amarillo,amarellus,,,ll,
canela,canela,canilla,canna,,,?,
marmelo,marmelo,membrillo,melimellum,,,ll,
martelo,martelo,martillo,martellu,,,ll,
galego,galego,gallego,Gallaecus,,,ll,
calosidade,calosidade,callosidad,callositas,,,ll,
choiva,chuva,lluvia,pluviam,,,^pl,
chover,chover,llover,pluere,,,^pl,
ebulición,ebulição,ebullición,ebullitĭōne,,,ll,
cabalería,cavalaria,caballería,caballus,,,ll,
chamar,chamar,llamar,clamāre,,,^cl,
querelar,querelar,querellar,querellāre,,,ll,
relar,ralar,rallar,rallu,,,ll,
selar,selar,sellar,sigillare,,,ll,
valar,valar,vallar,vallare,,,ll,
balea,baleia,ballena,balaena,,,ll,
cabalo,cavalo,caballo,caballus,,,ll,
anel,anel,anillo,anellu,,,ll,
semente,semente,semilla,semente,,,?,
estrela,estrela,estrella,stella,,,ll,
cadeira,cadeira,silla,cathedra,,,_,
trabe,trave,frenillo,trabs,,,_,
ampola,ampola,ampolla,ampulla,,,ll,
chan,chão,llano,planum,,,^pl,
camelo,camelo,camello,camelus,,,l,
cancelo,cancelo,cancilla,cancellus,,,ll,
bulir,bulir,bullir,bullire,,,ll,
coitelo,faca,cuchillo,cultellus,,,ll,
lirio,verdinho,bacaladilla,liliu,,_,_,
grilo,grilo,grillo,grillus,,,_,
grou,grou,grulla,grus,,,s,
chama,chama,llama,flamma,,,^fl,
capela,capela,capilla,cappella,,,ll,
galiña,galinha,gallina,gallina,n,n,ll,
valado,valado,vallado,vallatum,,,ll,
engulir,engolir,engullir,gula,,,l,
apelidar,apelidar,apellidar,appellitare,,,ll,
xuño,junho,junio,iunius,ni,ni,,
puño,punho,puño,pugnum,gn,gn,gn,
abruño,abrunho,endrina,prunum,num,num,,
castaña,castanha,castaña,castanea,ne,ne,ne,
adiviñación,adivinhação,adivinación,divinatione,in,in,,Estraviz
coñecer,conhecer,conocer,cognoscere,gn,gn,,
recoñecer,reconhecer,reconocer,recognoscere,gn,gn,,
bañar,banhar,bañar,balneare,ne,ne,ne,
estrañar,estranhar,estrañar,extraneare,ne,ne,ne,
adiviñar,adivinhar,adivinar,addivinare,ni,ni,,Estraviz
amañar,ordenar,arreglar,admaniare,ni,,,
estaño,estanho,estaño,stagnum,gn,gn,gn,
Alemaña,Alemanha,Alemania,Alemannia,ni,ni,,
España,Espanha,España,Hispania,ni,ni,ni,
niño,ninho,nido,nidus,d,d,,
cociñar,cozinhar,cocinar,coquinare,in,in,,
viño,vinho,vino,vinum,num,num,,
muíño,moinho,molino,molinum,num,num,,
cociñeiro,cozinheiro,cocinero,coquinarius,in,in,,
cociña,cozinha,cocina,coquina,in,in,,
diñeiro,dinheiro,cuartos,denarius,en,en,,
araña,aranha,araña,aranea,ne,ne,ne,
golfiño,golfinho,delfín,delphinus,in,in,,
camiño,caminho,camino,camminus,in,in,,
poñer,pôr,poner,ponere,ne,,,
estraño,estranho,extraño,extraneus,ne,ne,ne,
sardiña,sardinha,sardina,sardina,in,in,,
cuño,cunho,cuño,cuneus,ne,ne,ne,
vergoña,vergonha,vergüenza,verecundia,di,di,,
xoaniña,joaninha,mariquita,Iohannes,nn,nn,,
fariña,farinha,harina,farina,in,in,,
fariñáceo,farináceo,farináceo,farinaceu,in,,,
veciño,vizinho,vecino,vicinus,in,in,,
Sardeña,Sardenha,Cerdeña,Sardinia,in,in,in,
cegoña,cegonha,cigüeña,ciconia,ni,ni,ni,
