gl,pt,es,la
dicionario,dicionário,diccionario,dictionarium
e,é,e,et
xaneiro,janeiro,enero,Ianuarius
febreiro,fevereiro,febrero,
marzo,março,marzo,mensis
abril,abril,abril,Aprilis
xuño,junho,junio,iunius
xullo,julho,julio,
novembro,novembro,noviembre,
decembro,dezembro,diciembre,december
domingo,domingo,domingo,dominicus
luns,,lunes,dies
martes,,martes,martis
mércores,,miércoles,dies
xoves,,jueves,dies
venres,,viernes,Veneris
sábado,sábado,sábado,sabbatum
inverno,inverno,invierno,hibernum
outono,outono,otoño,autumnus
lágrima,lágrima,lágrima,lacrima
cabeza,cabeça,cabeza,capitia
pelo,cabelo,pelo,pilus
pel,pele,piel,pellis
queixo,queijo,queso,caseus
boca,boca,boca,bucca
lingua,língua,lengua,lĭngŭa
barba,barba,barba,barba
face,cara,cara,facies
fronte,fronte,frente,frontem
orella,orelha,oreja,auricula
ollo,olho,ojo,oculus
dente,dente,diente,dens
nariz,nariz,nariz,nares
brazo,braço,brazo,brachium
perna,perna,pierna,perna
cóbado,cotovelo,codo,cubitus
cintura,cintura,cintura,cincturam
ventrullo,barriga,barriga,ventriculum
beizo,beiço,labio,bifidus
labio,beiço,labio,labium
sobrecella,sobrancelha,ceja,supercilium
coxa,coxa,muslo,coxa
meixela,bochecha,mejilla,maxillam
gorxa,gorja,garganta,gurges
man,mão,mano,manum
pupila,menina,pupila,Pupilla
vermello,vermelho,rojo,
amarelo,amarelo,amarillo,amarellus
colorado,vermelho,rojo,coloratus
rubio,vermelho,rojo,rubidum
roxo,louro,rubio,
louro,louro,rubio,laurus
dourado,doirado,dorado,deauratum
verde,verde,verde,viridis
malva,malva,malva,malva
polgar,polegar,pulgar,
índice,índice,índice,index
nádega,nádega,nalga,natis
cacha,nádega,nalga,cappula
cu,cu,culo,culum
costas,costas,espalda,
lombo,lombo,espalda,lumbus
vulva,,vulva,vulva
pene,pênis,pene,penis
perfeba,pestana,pestaña,Palpetra
pálpebra,pálpebra,párpado,palpebra
peito,peito,pecho,pectus
palma,palma,palma,palma
planta,planta,planta,planta
pulso,pulso,muñeca,pulsus
pómulo,pómulo,pómulo,pomulum
puño,punho,puño,pugnum
tempa,têmpora,sien,
sen,têmpora,sien,sine
talón,talão,talón,Talonem
calcaño,calcanhar,talón,calcaneum
calcañar,calcanhar,talón,
unlla,unha,uña,ungulam
uña,unha,uña,ungula
virilla,virilha,ingle,Virilia
xeonllo,joelho,rodilla,geniculum
axila,axila,axila,axillam
sovaco,axila,axila,subbrachiu
sobrazo,axila,axila,subbrachiu
canela,canela,canilla,canna
ombro,ombro,hombro,umerus
embigo,umbigo,ombligo,
mamila,mamilo,pezón,Mamilla
noz,noz,nuez,nux
pé,pé,pie,pes
escorpión,escorpião,escorpión,scorpione
Capricornio,Capricórnio,Capricornio,Capricornus
Saxitario,Sagitário,Sagitario,sagittarius
acuario,aquário,acuario,aquarium
león,leão,león,leonem
abeto,abeto,abeto,abies
acacia,acácia,acacia,acacia
ameixeira,ameixoeira,ciruelo,damascena
acivro,azevinho,acebo,acu
bidueiro,vidoeiro,abedul,betula
buxo,buxo,boj,buxu
foupa,urze,urce,faluppa
faia,faia,haya,fagea
figueira,figueira,higuera,
sabugo,sabugueiro,saúco,sabucus
sobreira,sobreiro,alcornoque,
salgueiro,salgueiro,sauce,salix
xesta,giesta,retama,genesta
cantar,cantar,cantar,
temer,temer,temer,timēre
partir,partir,partir,partire
chopo,choupo,chopo,populus
moer,moer,moler,molere
destruír,destruir,destruir,destruo
ladaíña,ladainha,letanía,
obedecer,obedecer,obedecer,oboedire
traducir,traduzir,traducir,traducere
pomar,pomar,pomar,
durmir,dormir,dormir,dormire
candela,candela,candela,candela
metro,metro,metro,metrum
segundo,segundo,segundo,secundus
abelá,avelã,avellana,
abruño,abrunho,endrina,prunum
arando,arando,arándano,rodandarum
cilindro,cilindro,cilindro,cylindrus
cono,cone,cono,
decágono,decágono,decágono,decagonus
cereixa,cereja,cereza,ceresia
castaña,castanha,castaña,castanea
caxoga,castanha,castaña,castanĕa
cuadrilátero,quadrilátero,cuadrilátero,quadrilatĕrus
esfera,esfera,esfera,sphaera
lima,lima,lima,lima
marmelo,marmelo,membrillo,melimellum
mazá,maçã,manzana,mala
melocotón,pêssego,melocotón,malum
melón,melão,melón,melo
milgranda,romã,granada,malum
néspera,nêspera,níspero,mespilum
oliva,oliva,oliva,oliva
níxaro,nêspera,níspero,mespilum
pera,pera,pera,petra
pexego,pêssego,melocotón,persicum
bretón,bretão,bretón,Britto
bisectriz,bissectriz,bisectriz,
mediatriz,mediatriz,mediatriz,
arsénico,arsênio,arsénico,arsenicum
elipse,elipse,elipse,
equilátero,equilátero,equilátero,aequilaterus
pirámide,pirâmide,pirámide,pyramis
acutángulo,acutângulo,acutángulo,
arco,arco,arco,arcus
liña,linha,línea,
plano,plano,plano,planus
prisma,prisma,prisma,prisma
trapecio,trapézio,trapecio,
triángulo,triângulo,triángulo,angulus
lumen,lúmen,lumen,lumen
lux,lux,lux,lux
prata,prata,plata,plattus
antimonio,antimônio,antimonio,antimonium
radián,radiano,radián,radius
rápido,rápido,rápido,rapidus
fermoso,formoso,hermoso,formosus
ar,ar,aire,aer
seguir,seguir,permanecer,sequor
pedir,pedir,pedir,petere
solicitar,solicitar,solicitar,sollicitare
eixo,eixo,eje,
gato,gato,gato,cattus
apupar,apupar,abuchear,upupare
ponte,ponte,puente,pons
roda,roda,rueda,rŏta
parir,parir,parir,pareo
couce,coice,coz,calcem
eixe,eixo,eje,
mil,mil,mil,mille
astrágalo,astrágalo,astrágalo,
axe,áxis,axis,axis
bigornia,bigorna,yunque,bicorna
calcáneo,calcaneus,calcáneo,
clavícula,clavícula,clavícula,
cóccix,cóccix,cóccix,coccyx
columna,coluna,columna,columna
